reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
372584,2023-01-05 17:54:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
366024,2023-01-05 17:54:00,Illinois Institute of Technology,Isha,Will Submit the docx,by today,IANF23
363254,2023-01-05 17:55:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
351097,2023-01-05 18:07:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
358166,2023-01-05 18:13:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
364077,2023-01-05 18:15:00,Illinois Institute of Technology,Isha,Will Submit the docx,within a week,IANF23
347181,2023-01-05 18:19:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
346961,2023-01-05 18:20:00,Illinois Institute of Technology,Isha,Wrong number,,IANF23
346685,2023-01-05 18:20:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
369115,2023-01-05 18:21:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
339264,2023-01-05 18:22:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
358675,2023-01-05 18:24:00,Illinois Institute of Technology,Shailja,Want to defer,,IANF23
346882,2023-01-05 18:27:00,Illinois Institute of Technology,Isha,Will Submit the docx,within a week,IANF23
357585,2023-01-05 18:28:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358406,2023-01-05 18:31:00,Illinois Institute of Technology,Shailja,Will Submit the docx,requires mail contaning fee structure for loan approval nd got no reply,IANF23
347033,2023-01-05 18:31:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
354860,2023-01-05 18:33:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
364058,2023-01-05 18:39:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
357336,2023-01-05 18:42:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
368448,2023-01-05 18:44:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
351277,2023-01-05 18:46:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
350341,2023-01-05 18:47:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
350341,2023-01-05 18:49:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
357626,2023-01-05 18:49:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346412,2023-01-05 18:50:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
349287,2023-01-05 18:51:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
350091,2023-01-05 18:53:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
351000,2023-01-05 18:54:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
350551,2023-01-05 18:55:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
368534,2023-01-05 18:56:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
368450,2023-01-05 18:57:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
350481,2023-01-05 18:58:00,Illinois Institute of Technology,Isha,Not interested,got admitted in university,IANF23
359462,2023-01-05 19:01:00,Illinois Institute of Technology,Isha,Not interested,got admitted in university,IANF23
363437,2023-01-05 19:02:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
356010,2023-01-05 19:03:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
350735,2023-01-05 19:05:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
368327,2023-01-05 19:06:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
369706,2023-01-05 19:07:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
919917000000,2023-01-05 19:10:00,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23
367761,2023-01-05 19:12:00,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23
367275,2023-01-05 19:14:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
365792,2023-01-05 19:15:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
358228,2023-01-05 19:17:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
352515,2023-01-05 19:18:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
357892,2023-01-05 19:19:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
357883,2023-01-05 19:20:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
354274,2023-01-05 19:21:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
352780,2023-01-05 19:22:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
348218,2023-01-05 19:24:00,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23
366610,2023-01-05 19:27:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
355462,2023-01-05 19:28:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
355467,2023-01-05 19:29:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
355344,2023-01-05 19:30:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
337472,2023-01-05 19:32:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345909,2023-01-05 19:33:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
360946,2023-01-05 19:34:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
350577,2023-01-05 19:38:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
352194,2023-01-05 19:39:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346091,2023-01-05 19:40:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
368193,2023-01-05 19:42:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
348104,2023-01-05 19:43:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
365620,2023-01-05 19:44:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346118,2023-01-05 19:45:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345989,2023-01-05 19:46:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345989,2023-01-05 19:47:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
328943,2023-01-05 19:48:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
347046,2023-01-05 19:49:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346425,2023-01-05 19:53:00,Illinois Institute of Technology,Isha,Want to defer,,IANF23
342880,2023-01-05 19:54:00,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23
369261,2023-01-05 19:56:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
355700,2023-01-05 19:58:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
373462,2023-01-05 19:59:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
357923,2023-01-05 20:00:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345755,2023-01-05 20:03:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
